global_id,source,source_card_no,type,term,pinyin,arabic,suggested_filename,integrated_path,stage,source_image,final_status,audit_note_ar
M6-FC-01,mock6.html,1,flashcard,宾馆,bīnguǎn,فندق,m6-fc-01-宾馆.webp,assets/card-images/m6-fc-01-宾馆.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: فندق/استقبال/مسافر.
M6-FC-02,mock6.html,2,flashcard,地铁,dìtiě,مترو الأنفاق,m6-fc-02-地铁.webp,assets/card-images/m6-fc-02-地铁.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: مترو تحت الأرض.
M6-FC-03,mock6.html,3,flashcard,公园,gōngyuán,حديقة عامة,m6-fc-03-公园.webp,assets/card-images/m6-fc-03-公园.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: حديقة عامة.
M6-FC-04,mock6.html,4,flashcard,办公室,bàngōngshì,مكتب (غرفة العمل),m6-fc-04-办公室.webp,assets/card-images/m6-fc-04-办公室.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: مكتب وعمل.
M6-FC-05,mock6.html,5,flashcard,饺子,jiǎozi,جياوزي (زلابية),m6-fc-05-饺子.webp,assets/card-images/m6-fc-05-饺子.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: جياوزي.
M6-FC-06,mock6.html,6,flashcard,汤,tāng,حساء / شوربة,m6-fc-06-汤.webp,assets/card-images/m6-fc-06-汤.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: شوربة ساخنة.
M6-FC-07,mock6.html,7,flashcard,葡萄,pútao,عنب,m6-fc-07-葡萄.webp,assets/card-images/m6-fc-07-葡萄.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: عنب.
M6-FC-08,mock6.html,8,flashcard,苦,kǔ,مرّ (للطعم) / صعب (للحياة),m6-fc-08-苦.webp,assets/card-images/m6-fc-08-苦.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: طعم مر.
M6-FC-09,mock6.html,9,flashcard,糖/盐,táng/yán,سكّر / ملح,m6-fc-09-糖-盐.webp,assets/card-images/m6-fc-09-糖-盐.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: خلط السكر والملح.
M6-FC-10,mock6.html,10,flashcard,冷静,lěngjìng,هادئ,m6-fc-10-冷静.webp,assets/card-images/m6-fc-10-冷静.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة لفكرة الهدوء وقت الخطر.
M6-FC-11,mock6.html,11,flashcard,吃惊,chījīng,يندهش,m6-fc-11-吃惊.webp,assets/card-images/m6-fc-11-吃惊.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: الاندهاش.
M6-FC-12,mock6.html,12,flashcard,感动,gǎndòng,متأثّر عاطفياً,m6-fc-12-感动.webp,assets/card-images/m6-fc-12-感动.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: تأثر عاطفي.
M6-FC-13,mock6.html,13,flashcard,坚持,jiānchí,يثابر,m6-fc-13-坚持.webp,assets/card-images/m6-fc-13-坚持.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: المثابرة.
M6-FC-14,mock6.html,14,flashcard,勇敢,yǒnggǎn,شجاع,m6-fc-14-勇敢.webp,assets/card-images/m6-fc-14-勇敢.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: الشجاعة.
M6-FC-15,mock6.html,15,flashcard,微信,Wēixìn,WeChat,m6-fc-15-微信.webp,assets/card-images/m6-fc-15-微信.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: WeChat/مراسلة.
M6-FC-16,mock6.html,16,flashcard,互联网,hùliánwǎng,الإنترنت,m6-fc-16-互联网.webp,assets/card-images/m6-fc-16-互联网.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: الإنترنت.
M6-FC-17,mock6.html,17,flashcard,联系,liánxì,يتواصل,m6-fc-17-联系.webp,assets/card-images/m6-fc-17-联系.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: تواصل.
M6-FC-18,mock6.html,18,flashcard,推迟,tuīchí,يؤجّل,m6-fc-18-推迟.webp,assets/card-images/m6-fc-18-推迟.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: تأجيل.
M6-FC-19,mock6.html,19,flashcard,行李,xíngli,حقائب السفر,m6-fc-19-行李.webp,assets/card-images/m6-fc-19-行李.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: أمتعة سفر.
M6-FC-20,mock6.html,20,flashcard,终于,zhōngyú,أخيراً,m6-fc-20-终于.webp,assets/card-images/m6-fc-20-终于.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: أخيراً وصل/عودة.
M6-FC-21,mock6.html,21,flashcard,商量,shāngliang,يتشاور,m6-fc-21-商量.webp,assets/card-images/m6-fc-21-商量.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: تشاور.
M6-FC-24,mock6.html,24,flashcard,面试,miànshì,مقابلة عمل,m6-fc-24-面试.webp,assets/card-images/m6-fc-24-面试.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: مقابلة عمل.
M6-FC-25,mock6.html,25,flashcard,成功,chénggōng,نجاح,m6-fc-25-成功.webp,assets/card-images/m6-fc-25-成功.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: نجاح/فوز.
M6-FC-26,mock6.html,26,flashcard,留学,liúxué,الدراسة بالخارج,m6-fc-26-留学.webp,assets/card-images/m6-fc-26-留学.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: دراسة بالخارج.
M6-FC-27,mock6.html,27,flashcard,签证,qiānzhèng,تأشيرة,m6-fc-27-签证.webp,assets/card-images/m6-fc-27-签证.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: تأشيرة.
M6-FC-28,mock6.html,28,flashcard,堵车,dǔchē,زحام مروري,m6-fc-28-堵车.webp,assets/card-images/m6-fc-28-堵车.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: زحام مروري.
M6-FC-29,mock6.html,29,flashcard,毕业,bìyè,يتخرّج,m6-fc-29-毕业.webp,assets/card-images/m6-fc-29-毕业.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: تخرج.
M6-FC-31,mock6.html,31,flashcard,考试,kǎoshì,امتحان,m6-fc-31-考试.webp,assets/card-images/m6-fc-31-考试.webp,stage7_ready_confirmed,,integrated,مطابقة جيدة: امتحان.
