global_id,source,source_card_no,type,term,pinyin,arabic,suggested_filename,integrated_path,stage8_source_image,stage8_status,audit_note_ar
M6-FC-22,mock6.html,22,flashcard,健康,jiànkāng,صحة,m6-fc-22-健康.webp,assets/card-images/m6-fc-22-健康.webp,morning_stretch_in_a_healthy_home.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-23,mock6.html,23,flashcard,医院,yīyuàn,مستشفى,m6-fc-23-医院.webp,assets/card-images/m6-fc-23-医院.webp,modern_hospital_lobby_with_vibrant_light.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-30,mock6.html,30,flashcard,知识,zhīshi,معرفة,m6-fc-30-知识.webp,assets/card-images/m6-fc-30-知识.webp,the_glow_of_study_and_ideas.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-37,mock6.html,37,flashcard,已经,yǐjīng,بالفعل / من قبل,m6-fc-37-已经.webp,assets/card-images/m6-fc-37-已经.webp,positive_vibes_in_a_cozy_office.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-38,mock6.html,38,flashcard,本来,běnlái,أصلاً / في الأصل,m6-fc-38-本来.webp,assets/card-images/m6-fc-38-本来.webp,architectural_design_presentation_in_a_studio.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-40,mock6.html,40,flashcard,水果,shuǐguǒ,فاكهة,m6-fc-40-水果.webp,assets/card-images/m6-fc-40-水果.webp,summer_harvest_fruit_bounty_on_wood.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-41,mock6.html,41,flashcard,一直,yīzhí,دائماً / باستمرار,m6-fc-41-一直.webp,assets/card-images/m6-fc-41-一直.webp,daily_study_progress_through_time.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-42,mock6.html,42,flashcard,流行,liúxíng,شائع / دارج,m6-fc-42-流行.webp,assets/card-images/m6-fc-42-流行.webp,exciting_product_reveal_in_stylish_space.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-43,mock6.html,43,flashcard,浪费,làngfèi,يهدر / إسراف,m6-fc-43-浪费.webp,assets/card-images/m6-fc-43-浪费.webp,a_casual_wasteful_moment_at_home.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-44,mock6.html,44,flashcard,性格,xìnggé,شخصية / طبع,m6-fc-44-性格.webp,assets/card-images/m6-fc-44-性格.webp,exploring_every_side_of_me.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-46,mock6.html,46,flashcard,节约,jiéyuē,يوفّر / اقتصادي,m6-fc-46-节约.webp,assets/card-images/m6-fc-46-节约.webp,eco_friendly_savings_in_a_cozy_home.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-48,mock6.html,48,flashcard,经济,jīngjì,اقتصاد,m6-fc-48-经济.webp,assets/card-images/m6-fc-48-经济.webp,global_growth_in_a_modern_economy.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-49,mock6.html,49,flashcard,信心,xìnxīn,ثقة بالنفس,m6-fc-49-信心.webp,assets/card-images/m6-fc-49-信心.webp,confident_presentation_in_bright_surroundings.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-51,mock6.html,51,flashcard,法律,fǎlǜ,قانون,m6-fc-51-法律.webp,assets/card-images/m6-fc-51-法律.webp,symbols_of_justice_and_authority.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-FC-52,mock6.html,52,flashcard,危险,wēixiǎn,خطر / خطير,m6-fc-52-危险.webp,assets/card-images/m6-fc-52-危险.webp,alert_at_the_industrial_hazard_zone.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
