global_id,source,source_card_no,type,term,pinyin,arabic,duplicate_group,audit_status,candidate_image,image_exists,suggested_filename,audit_note_ar,must_integrate
M6-FC-22,mock6.html,22,flashcard,健康,jiànkāng,صحة,,review,healthy_choices_in_a_sunny_kitchen.png,True,m6-fc-22-健康.webp,مرشح قريب للصحة، لكنه يميل إلى الحمية أكثر؛ الأفضل توليد صحة عامة.,no_html_integration_yet
M6-FC-23,mock6.html,23,flashcard,医院,yīyuàn,مستشفى,,review,friendly_nurse_in_a_bright_clinic.png,True,m6-fc-23-医院.webp,مرشح قريب للمستشفى، لكنه يوضح عيادة/ممرضة لا مستشفى كامل.,no_html_integration_yet
M6-FC-30,mock6.html,30,flashcard,知识,zhīshi,معرفة,,review,eureka_moment_in_a_cozy_study.png,True,m6-fc-30-知识.webp,مرشح قريب للمعرفة لكنه أقرب إلى الفهم/الإدراك.,no_html_integration_yet
M6-FC-37,mock6.html,37,flashcard,已经,yǐjīng,بالفعل / من قبل,,review,successful_study_session_in_a_cozy_room.png,True,m6-fc-37-已经.webp,مرشح قريب لفكرة أن الشيء صار منجزاً بالفعل، لكنه غير مباشر.,no_html_integration_yet
M6-FC-38,mock6.html,38,flashcard,本来,běnlái,أصلاً / في الأصل,,missing,,False,m6-fc-38-本来.webp,لا توجد صورة دقيقة لفكرة الخطة الأصلية/في الأصل.,no_html_integration_yet
M6-FC-40,mock6.html,40,flashcard,水果,shuǐguǒ,فاكهة,,review,healthy_choices_in_a_sunny_kitchen.png,True,m6-fc-40-水果.webp,مرشح قريب لأنه يظهر فاكهة، لكنه ليس بطاقة فاكهة واضحة.,no_html_integration_yet
M6-FC-41,mock6.html,41,flashcard,一直,yīzhí,دائماً / باستمرار,,missing,,False,m6-fc-41-一直.webp,لا توجد صورة دقيقة لفكرة الاستمرارية/دائماً.,no_html_integration_yet
M6-FC-42,mock6.html,42,flashcard,流行,liúxíng,شائع / دارج,,missing,,False,m6-fc-42-流行.webp,لا توجد صورة دقيقة لفكرة الشيء الشائع/الرائج.,no_html_integration_yet
M6-FC-43,mock6.html,43,flashcard,浪费,làngfèi,يهدر / إسراف,,missing,,False,m6-fc-43-浪费.webp,لا توجد صورة دقيقة لفكرة الهدر/الإسراف.,no_html_integration_yet
M6-FC-44,mock6.html,44,flashcard,性格,xìnggé,شخصية / طبع,,missing,,False,m6-fc-44-性格.webp,لا توجد صورة دقيقة لفكرة الشخصية/الطبع.,no_html_integration_yet
M6-FC-46,mock6.html,46,flashcard,节约,jiéyuē,يوفّر / اقتصادي,,missing,,False,m6-fc-46-节约.webp,لا توجد صورة دقيقة لفكرة التوفير/الاقتصاد في الموارد.,no_html_integration_yet
M6-FC-48,mock6.html,48,flashcard,经济,jīngjì,اقتصاد,,missing,,False,m6-fc-48-经济.webp,لا توجد صورة دقيقة للاقتصاد.,no_html_integration_yet
M6-FC-49,mock6.html,49,flashcard,信心,xìnxīn,ثقة بالنفس,,review,successful_study_session_in_a_cozy_room.png,True,m6-fc-49-信心.webp,مرشح قريب للثقة، لكنه ليس واضحاً بصرياً بما يكفي.,no_html_integration_yet
