global_id,source,source_card_no,type,term,pinyin,arabic,is_duplicate_term,duplicate_group,current_src,suggested_filename,visual_concept_ar,image_prompt_en,status
M6-FC-01,mock6.html,1,flashcard,宾馆,bīnguǎn,فندق,no,,inline SVG/card design,m6-fc-01-宾馆.webp,ردهة فندق دافئة، موظف استقبال يعطي بطاقة غرفة لمسافر يحمل حقيبة؛ صورة تربط الضيف بمبنى الضيوف.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 宾馆 (bīnguǎn) meaning in Arabic: فندق. Visual concept: ردهة فندق دافئة، موظف استقبال يعطي بطاقة غرفة لمسافر يحمل حقيبة؛ صورة تربط الضيف بمبنى الضيوف.",pending_generation_or_review
M6-FC-02,mock6.html,2,flashcard,地铁,dìtiě,مترو الأنفاق,no,,inline SVG/card design,m6-fc-02-地铁.webp,محطة مترو حديثة تحت الأرض، قطار فضي يصل والركاب ينتظرون على الرصيف.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 地铁 (dìtiě) meaning in Arabic: مترو الأنفاق. Visual concept: محطة مترو حديثة تحت الأرض، قطار فضي يصل والركاب ينتظرون على الرصيف.",pending_generation_or_review
M6-FC-03,mock6.html,3,flashcard,公园,gōngyuán,حديقة عامة,no,,inline SVG/card design,m6-fc-03-公园.webp,حديقة عامة مشرقة، أشجار وبحيرة ومقاعد وأناس يتنزهون؛ إحساس بالمكان العام.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 公园 (gōngyuán) meaning in Arabic: حديقة عامة. Visual concept: حديقة عامة مشرقة، أشجار وبحيرة ومقاعد وأناس يتنزهون؛ إحساس بالمكان العام.",pending_generation_or_review
M6-FC-04,mock6.html,4,flashcard,办公室,bàngōngshì,مكتب (غرفة العمل),no,,inline SVG/card design,m6-fc-04-办公室.webp,مكتب عمل حديث، شخص ينجز مهامه على الحاسوب تحت ضوء مكتبي هادئ.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 办公室 (bàngōngshì) meaning in Arabic: مكتب (غرفة العمل). Visual concept: مكتب عمل حديث، شخص ينجز مهامه على الحاسوب تحت ضوء مكتبي هادئ.",pending_generation_or_review
M6-FC-05,mock6.html,5,flashcard,饺子,jiǎozi,جياوزي (زلابية),no,,inline SVG/card design,m6-fc-05-饺子.webp,طبق جياوزي ساخن في سلة بخار، بخار واضح وطاولة صينية دافئة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 饺子 (jiǎozi) meaning in Arabic: جياوزي (زلابية). Visual concept: طبق جياوزي ساخن في سلة بخار، بخار واضح وطاولة صينية دافئة.",pending_generation_or_review
M6-FC-06,mock6.html,6,flashcard,汤,tāng,حساء / شوربة,no,,inline SVG/card design,m6-fc-06-汤.webp,وعاء شوربة لحم ساخنة مع بخار وخضار وملعقة خشبية.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 汤 (tāng) meaning in Arabic: حساء / شوربة. Visual concept: وعاء شوربة لحم ساخنة مع بخار وخضار وملعقة خشبية.",pending_generation_or_review
M6-FC-07,mock6.html,7,flashcard,葡萄,pútao,عنب,yes,M6-FC-07 | M9-FC-04,inline SVG/card design,m6-fc-07-葡萄.webp,عنقود عنب بنفسجي نديّ بأوراق خضراء، لقطة قريبة قوية.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 葡萄 (pútao) meaning in Arabic: عنب. Visual concept: عنقود عنب بنفسجي نديّ بأوراق خضراء، لقطة قريبة قوية.",pending_generation_or_review
M6-FC-08,mock6.html,8,flashcard,苦,kǔ,مرّ (للطعم) / صعب (للحياة),yes,M6-FC-08 | M6-WR-100 | M9-FC-45,inline SVG/card design,m6-fc-08-苦.webp,شاب يتذوق قهوة مرة ويعصر وجهه؛ ربط الطعم المر بالمعاناة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 苦 (kǔ) meaning in Arabic: مرّ (للطعم) / صعب (للحياة). Visual concept: شاب يتذوق قهوة مرة ويعصر وجهه؛ ربط الطعم المر بالمعاناة.",pending_generation_or_review
M6-FC-09,mock6.html,9,flashcard,糖/盐,táng/yán,سكّر / ملح,no,,inline SVG/card design,m6-fc-09-糖-盐.webp,مشهد مطبخ يخلط بين السكر والملح، برطمانان واضحان وشخص متفاجئ.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 糖/盐 (táng/yán) meaning in Arabic: سكّر / ملح. Visual concept: مشهد مطبخ يخلط بين السكر والملح، برطمانان واضحان وشخص متفاجئ.",pending_generation_or_review
M6-FC-10,mock6.html,10,flashcard,冷静,lěngjìng,هادئ,no,,inline SVG/card design,m6-fc-10-冷静.webp,شخص هادئ في وسط موقف خطر رمزي، يتنفس ببطء بينما الجميع قلق.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 冷静 (lěngjìng) meaning in Arabic: هادئ. Visual concept: شخص هادئ في وسط موقف خطر رمزي، يتنفس ببطء بينما الجميع قلق.",pending_generation_or_review
